,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,33.996243,24.946962,-9.285972,-97.21956,-37.270496,13.198814,-9.359743,-40.598667,109.53381,78.95622,-80.85045,-219.49738,144.83205,6.215108,-59.82616,-105.9336
1,10.436583,18.20396,-4.376018,-26.102617,-12.596028,3.6522858,-2.9705074,-9.395621,30.55921,26.855618,-22.375414,-61.6904,42.24226,1.4553646,-22.792902,-31.645578
2,7.3383193,-4.5225286,6.445774,-1.0401722,-5.979111,-2.3257446,-8.689789,2.106095,2.9427416,2.58403,-0.65424675,-11.996675,3.1368828,1.2687254,4.46956,-3.2826807
3,7.681874,13.721955,-3.1950192,-16.753523,-9.034099,3.0587194,-1.9197261,-6.0909576,20.348988,17.817303,-13.201349,-39.60318,26.837793,1.3403672,-14.856756,-20.346296
4,6.079356,7.045902,-2.6573815,-15.569844,-6.6976824,0.94419,-2.6595492,-4.6818213,18.124342,15.810397,-14.953519,-39.19218,26.179739,0.09568548,-12.479322,-20.03795
5,7.101061,11.168884,-3.3241258,-15.376327,-7.8385687,1.6257024,-1.9856026,-5.177243,19.244219,16.383625,-12.625494,-37.219536,25.674702,1.8970792,-14.181344,-19.408403
6,16.833029,-14.490687,15.298251,-1.328476,-11.930583,-5.0271087,-19.038193,6.546537,5.2453303,4.055626,-0.6133199,-25.015913,4.0394254,-0.39194825,10.27469,-7.258179
7,7.061545,2.6067758,-0.69845843,-19.740303,-7.6491137,1.9945426,-3.1254234,-7.482922,23.209015,16.078388,-18.30749,-47.17382,30.127094,0.14557111,-10.741997,-23.282967
8,4.2779827,6.3245945,0.06057735,-5.0150356,-4.9727135,1.7378429,-1.1826862,-2.2158248,6.3478327,5.416814,-1.9333445,-11.584483,7.3436217,1.6901176,-4.6128964,-5.6812987
9,14.149788,-9.998097,13.291108,-1.6246426,-11.102129,-2.792274,-15.162997,3.8028595,4.447457,3.326874,-0.0017109513,-21.451956,4.718655,0.93092513,8.94512,-5.8133154
10,6.9306993,-5.001873,6.8127565,-0.6478173,-5.5729136,-2.4647815,-7.9859085,2.523935,2.7527099,2.279419,-1.0859303,-11.363847,2.3363605,-0.1368352,3.8786132,-3.3805654
11,2.3827038,-3.4872978,3.8884208,-0.7119917,-2.8572445,-0.2056262,-2.422065,-0.12482522,1.7601968,0.21529016,-2.1465163,-6.6867623,1.6021564,-2.0946813,0.9995623,-3.2240865
12,6.9253473,9.935314,-2.1447122,-18.392721,-8.468025,2.1462154,-2.1909096,-6.622391,20.9069,17.916096,-16.707272,-44.121407,29.315338,0.3161285,-14.41439,-22.226866
13,14.516505,-12.431726,14.406844,-0.832077,-11.158607,-2.7250476,-15.49573,4.653545,3.9196477,2.495531,-0.20644954,-21.427235,3.9123375,-0.6012225,9.533033,-6.4581
14,12.555396,-10.360061,11.66171,-0.9879321,-9.495182,-3.4829876,-14.203112,4.619085,3.6529481,2.8913975,-0.6586494,-18.899502,3.2270265,0.03734995,7.8494854,-5.5079966
15,4.1204677,-6.1248736,4.9123983,-0.39017338,-3.8421378,-2.1750863,-6.221327,2.290645,2.0660377,1.1919018,-2.2372785,-9.864174,0.98201025,-2.176617,2.2467132,-4.174697
16,14.352938,-12.083436,14.503845,-0.661931,-11.00142,-2.7740545,-15.129783,4.625164,4.093877,2.6227858,-0.45025995,-21.093693,3.7967727,-0.9409484,9.272078,-6.3480277
17,9.859894,-9.086493,7.3538027,-1.6218908,-6.986857,-5.6930456,-13.841039,5.008396,3.7568884,4.1232047,-1.3209133,-16.852537,3.327251,1.2458624,5.941633,-4.842386
18,9.997797,-8.3585615,10.271165,-0.6705286,-8.03193,-1.5668738,-10.505579,3.1610577,2.7625113,1.5993716,-0.61820114,-15.061302,2.4464474,-0.97465414,6.239737,-4.825271
19,12.685178,-13.095778,13.581561,-0.8311041,-10.145045,-0.9529194,-13.16482,3.828575,2.9507442,0.47428912,-0.30351716,-19.410103,2.081501,-2.689743,8.070294,-7.0948353
20,13.201653,-14.6802845,13.963047,-1.2007973,-10.277933,-2.046559,-14.229692,4.9237995,3.7725468,1.5967598,-1.607048,-22.894306,2.3573444,-3.9819872,7.494672,-8.883082
21,10.652615,-9.866174,9.251492,-0.9567803,-7.81273,-3.7438471,-13.112041,4.7081604,3.0737696,2.781331,-0.761899,-16.71761,2.4392347,-0.19743834,6.571206,-5.231598
22,13.936268,-17.522402,13.339298,-1.3091345,-10.612518,-4.080677,-17.89325,6.250471,3.7035809,1.8180622,-1.5011921,-24.32168,1.8418541,-3.1704142,8.804376,-9.186129
23,13.302834,-19.346159,15.367982,-1.4695568,-10.752174,-1.6716216,-15.3407955,5.4769635,3.9023006,0.34850758,-2.9161289,-27.067047,1.0683097,-7.527447,7.14329,-12.185917
24,6.3677254,-8.54374,5.8054485,-0.6468529,-5.1377463,-4.205977,-10.315967,4.5207553,2.3779864,2.4711359,-2.2223153,-13.352326,1.13321,-1.5426099,3.6211746,-5.2597456
25,2.740137,-1.4577332,3.117836,-0.8939329,-2.9985445,-0.35197362,-2.8753111,0.6201127,1.3089079,0.9254898,-1.5056958,-6.1124215,1.82511,-0.7322164,0.90305173,-2.6268656
26,9.793719,-11.916001,11.506005,-0.78226036,-8.163768,-1.231186,-10.863427,3.561428,3.0610406,0.7308862,-1.8203013,-17.893513,1.4250605,-4.117575,5.5969944,-7.473883
27,6.75581,-9.395516,6.718136,-0.64853233,-5.5213165,-3.1556613,-9.894955,4.0450664,2.4345725,1.7213221,-2.1213844,-14.095831,0.9230181,-2.5098584,3.8063958,-5.821091
28,5.8883157,-7.630311,7.11152,-0.3768373,-5.2898254,-1.3314466,-7.5353255,2.7110565,1.855618,0.5897473,-1.6329882,-11.335597,0.72947764,-2.7428555,3.4284697,-4.9507976
29,6.0246835,-7.887144,6.8850794,-0.5003743,-5.2994103,-2.156527,-8.073383,2.9717205,2.2645226,1.2222713,-1.9893981,-12.227212,1.1360565,-2.460713,3.392508,-5.0986896
30,11.887337,-14.018428,13.371981,-0.7982099,-9.698497,-1.0653107,-12.893818,4.173934,2.7351077,0.1229175,-0.87839043,-19.915438,1.4168929,-4.0225525,7.454436,-7.9237213
31,6.3726,-8.193596,8.073037,-0.35336363,-5.8362193,-0.919526,-7.1394577,2.0798721,2.2050445,0.44889417,-1.7020178,-12.270423,1.3636034,-2.8774517,3.7116985,-5.1910386
32,15.072825,-15.563057,15.784476,-1.066242,-11.947911,-1.2143266,-15.654091,4.308328,3.47858,0.4019685,0.073538005,-22.998306,2.4162536,-2.7678943,9.811819,-7.977576
33,4.3152046,-8.253357,6.435477,-0.4447218,-4.5059295,-1.1221743,-6.1982503,1.9954674,2.012292,0.111747555,-2.7634172,-11.4039,0.80029404,-4.0393353,2.3282137,-5.721103
34,3.3847878,-4.1369524,3.4753048,-0.32562187,-3.0691812,-2.2343936,-5.5603957,2.2600424,1.5802302,1.3643521,-1.6153431,-7.336055,0.80375826,-1.034829,1.8468754,-2.8641648
35,6.7201977,-11.544524,7.81574,-0.8112792,-5.886827,-2.796146,-9.843418,3.8417559,2.731999,1.0503166,-3.015017,-16.367987,0.8233131,-4.4339457,3.6035278,-7.454907
36,3.8743289,-7.28432,5.2634335,-0.48039967,-3.8736315,-1.9543465,-6.1616893,2.299097,2.1693525,0.92581344,-2.9611778,-10.798292,0.95373046,-3.341886,1.9230057,-5.1819453
37,8.732169,-9.460901,10.014011,-0.56215745,-7.417241,-0.67329437,-9.038791,2.5537672,2.5036695,0.49852943,-1.0842808,-14.70354,1.5717291,-2.7802188,5.138968,-5.796932
38,8.984149,-12.206478,10.49786,-0.566847,-7.818206,-1.7331375,-11.467131,3.8176146,2.1557074,0.16843951,-1.3516918,-16.112423,1.0057664,-3.3920794,5.921258,-6.9460926
39,1.3060619,-2.7023053,1.8743987,-4.2267346,-2.2283313,-0.5698777,-2.1329389,-1.2558417,5.723782,2.8398147,-6.3229876,-13.168674,6.5817733,-2.0773935,-1.522229,-7.2599545
40,5.868476,-7.770428,7.2431507,-0.38323882,-5.3629646,-1.2435352,-7.556527,2.6429317,1.7520647,0.44839928,-1.6384655,-11.322578,0.77947414,-2.708525,3.3884633,-5.0251117
41,11.135952,-11.857568,11.148546,-0.7592087,-8.763594,-2.230668,-13.124999,4.376982,2.837666,1.2700759,-0.6305638,-17.717869,1.6254512,-2.0366457,7.1131825,-6.446149
42,3.4068084,-7.131095,4.9890943,-0.72113115,-3.6422927,-1.6459445,-5.2468944,1.4620157,2.5428762,0.6053301,-3.3041427,-11.114383,0.97113264,-3.5741868,1.2242144,-5.1624656
43,10.296693,-10.603035,9.434502,-0.7786062,-7.708221,-3.702414,-12.738444,4.7867146,3.502927,2.8339899,-1.4383636,-17.671673,1.9569204,-1.3036001,6.1502657,-5.8620896
44,7.5485826,-11.8349905,10.202903,-0.5677583,-7.2216573,-0.5732583,-9.3341465,2.8100631,1.9160646,-0.952469,-1.7643433,-15.383263,0.41861397,-4.7618084,4.829448,-7.167101
45,7.652021,-11.476054,7.9054527,-0.78363615,-6.275721,-3.1569066,-11.025734,4.446849,2.6316438,1.4328171,-2.3802845,-16.399101,0.81893635,-3.5280478,4.351265,-7.064539
46,15.193031,-17.42172,16.334635,-1.2796137,-11.868498,-1.3382998,-16.140173,5.0422473,3.9669173,0.74748814,-1.3078293,-25.4903,1.9361135,-4.858616,8.914651,-10.0298605
47,10.800334,-14.017895,11.93611,-0.82191384,-8.752668,-1.8788134,-12.705644,4.308974,3.0517116,0.65506876,-1.6241356,-19.756557,1.2053409,-4.1567736,6.582124,-8.08521
48,11.468142,-13.3245735,12.84598,-0.8194629,-9.326354,-1.3057454,-12.575336,4.166039,2.918451,0.62454975,-1.1417772,-19.535555,1.6663088,-3.7684915,6.967701,-7.8279853
49,12.627951,-14.743511,11.835637,-1.066634,-9.547066,-3.7402859,-15.631351,5.6276064,3.5251822,1.9866519,-1.1556548,-21.753689,1.8192602,-2.5305917,8.002097,-7.8074155
50,10.659269,-15.451065,12.117351,-1.004436,-8.912841,-2.342783,-13.495736,4.940446,2.7976568,0.439162,-2.0633094,-20.96456,1.0615256,-5.0329933,6.4885445,-9.17204
51,12.15468,-16.52521,12.551779,-1.2618905,-9.617201,-2.6324043,-14.817526,5.332691,3.3139446,0.7573277,-1.7680118,-23.247414,1.1665717,-4.7249446,7.316182,-9.471542
52,10.776303,-9.153565,10.858808,-0.65147346,-8.468867,-2.0056212,-11.465121,3.5998185,2.936678,1.8623855,-0.5291568,-16.170918,2.7582843,-0.84397423,6.847723,-5.0625944
53,11.873648,-13.48647,10.123071,-1.4006499,-8.629688,-5.467383,-16.031141,6.075571,3.600372,3.4356983,-1.4444435,-20.551582,3.1599567,-0.567748,7.5692286,-6.8957744
54,16.568491,-14.313968,16.541086,-1.0146399,-12.575042,-2.907534,-17.271202,5.267177,4.6220284,2.5055795,-0.2964427,-24.414116,3.975955,-1.3555781,10.568179,-7.462533
55,10.869184,-13.896292,11.656906,-0.79470533,-9.046287,-2.246557,-13.536013,4.3597283,2.5049067,0.47401094,-1.0136203,-18.689995,1.582744,-2.8389065,7.2654734,-7.4272556
56,18.486124,-28.834476,18.909655,-3.0427475,-13.647471,-4.0941954,-22.403893,8.589519,5.6200986,1.3356712,-4.103714,-39.3869,1.5872483,-10.055804,9.561083,-17.251333
57,19.961626,-25.968481,18.395998,-3.7601361,-14.608452,-5.5778666,-24.183876,8.102501,6.2944875,2.3878837,-2.5545108,-38.242153,3.0910726,-5.646881,10.952642,-14.093002
58,15.3073845,-21.813805,16.40105,-1.6401712,-12.126417,-2.3851237,-18.353313,6.298672,3.7674167,0.039185077,-2.1399539,-29.187819,1.0451518,-6.8318815,9.224276,-12.415881
